set,run,method,depth,seed,batch_size,learning_rate,max_steps,recorded_git_hash,started_utc,finished_utc,duration_h,history_bytes,history_sha256,history_records,history_trailing_bytes,final_train_loss,max_composite_amax
main,hc_d32_s42,hc,32,42,8,0.0001,5000,53679605,2026-01-13T18:56:31Z,2026-01-13T22:58:55Z,4.04,39888079,a0b3e9b3ad87e6ccf4b6e4666f1799eec39ce5eead314cda3f55cc476231e90d,5000,0,5.478152,6544.9
main,hc_d32_s123,hc,32,123,8,0.0001,5000,53679605,2026-01-13T18:56:46Z,2026-01-13T22:59:59Z,4.05,39901896,f17ff54aa4863d8ee15d8b5df1ad9d357c9e95f758fd9d26aa62fba49bac0837,5000,0,5.412013,11919.2
main,hc_d32_s456,hc,32,456,8,0.0001,5000,53679605,2026-01-13T23:07:14Z,2026-01-14T03:09:50Z,4.04,39935729,ca849885100a6e2a3f25d1fece2d017d63e0d3419979bf3df09b4bb1b1d12ae8,5000,0,5.403006,14308.4
main,hc_d48_s42,hc,48,42,4,0.0001,5000,53679605,2026-01-13T19:09:05Z,2026-01-13T23:50:38Z,4.69,,,,,,
main,hc_d48_s123,hc,48,123,4,0.0001,5000,53679605,2026-01-13T23:56:44Z,2026-01-14T04:38:28Z,4.70,,,,,,
main,hc_d48_s456,hc,48,456,4,0.0001,5000,53679605,2026-01-13T23:11:29Z,2026-01-14T03:53:35Z,4.70,,,,,,
main,mhc_d32_s42,mhc,32,42,8,0.0001,5000,53679605,2026-01-13T18:57:31Z,2026-01-13T23:07:01Z,4.16,37568993,3c8701cd6479038ceb243b2d0613f16fc68be089d1fdb257ad235eeb4538c57f,5000,0,5.494731,1
main,mhc_d32_s123,mhc,32,123,8,0.0001,5000,53679605,2026-01-13T18:57:46Z,2026-01-13T23:06:17Z,4.14,37546496,8ff1565fd28d0cbb955460cf3d703037184e96607694e03e6b5a20c795545025,5000,0,5.457582,1
main,mhc_d32_s456,mhc,32,456,8,0.0001,5000,53679605,2026-01-13T23:11:23Z,2026-01-14T03:21:09Z,4.16,37562894,7df3bd9d6b89429b6bfbeecce0b8c8054a8b70e89a792a9c64b5c1705bb3250e,5000,0,5.409470,1
main,mhc_d48_s42,mhc,48,42,4,0.0001,5000,53679605,2026-01-13T19:09:05Z,2026-01-14T00:01:21Z,4.87,,,,,,
main,mhc_d48_s123,mhc,48,123,4,0.0001,5000,53679605,2026-01-13T19:09:05Z,2026-01-14T00:01:24Z,4.87,,,,,,
main,mhc_d48_s456,mhc,48,456,4,0.0001,5000,53679605,2026-01-13T23:11:35Z,2026-01-14T04:04:06Z,4.88,,,,,,
main,residual_d32_s42,residual,32,42,8,0.0001,5000,53679605,2026-01-14T00:03:29Z,2026-01-14T00:43:20Z,0.66,22855681,5cefe9c09d4d628ef07addcb38e77690cf47f0103e24655818633abeb3e6a754,5000,0,5.488831,
main,residual_d32_s123,residual,32,123,8,0.0001,5000,53679605,2026-01-14T00:03:34Z,2026-01-14T00:43:20Z,0.66,22849592,bb10cb8769318857b916b078318eaf213e30aa3ae6404c6c263ba8681c18e96b,5000,0,5.461183,
main,residual_d32_s456,residual,32,456,8,0.0001,5000,53679605,2026-01-14T00:44:11Z,2026-01-14T01:24:02Z,0.66,22859568,0837517c638ca897f9383a5d7c8aa71d2428a5319606a354f0581b3c1c5fed3e,5000,0,5.403925,
main,residual_d48_s42,residual,48,42,8,0.0001,5000,53679605,2026-01-14T00:44:24Z,2026-01-14T01:41:03Z,0.94,34042270,211308673973ac69786ea15d6acaff47c60bb72c2a854d34afc629a9e96565c9,5000,0,5.522120,
main,residual_d48_s123,residual,48,123,8,0.0001,5000,53679605,2026-01-14T02:02:15Z,2026-01-14T02:59:26Z,0.95,34031352,ef7d004a3b64df5c21f7c0b68ecc170377da7fd1ca2062ab6e81dbacf509edac,5000,0,5.490496,
main,residual_d48_s456,residual,48,456,8,0.0001,5000,53679605,2026-01-14T02:04:05Z,2026-01-14T03:01:56Z,0.96,34046798,cd777edfe6f39a41bbba9f656c42e33ed5cd4599463ade68132200fb40060754,5000,0,5.419714,
stress,hc_d32_s42,hc,32,42,8,0.0003,3000,4226a4f1,2026-01-14T04:42:40Z,2026-01-14T07:08:06Z,2.42,23974597,a3512364576991009f9cd7499fda3b9f755d4f3830bbd1c65eb950d71ba4c355,3000,0,5.743008,5444.73
stress,hc_d48_s42,hc,48,42,4,0.0003,3000,4226a4f1,2026-01-14T04:42:40Z,2026-01-14T07:31:59Z,2.82,35742008,16082039ad36817c7d5723b560b3ba927adaf59893de7a796b97f4784907038a,3000,0,6.234920,3814.01
stress,hc_d64_s42,hc,64,42,2,0.0003,3000,4226a4f1,2026-01-14T04:42:40Z,2026-01-14T07:57:59Z,3.26,47667542,ff864ea7bcab7669e47de89aa7f12a924ec72563fdf8e14e69394e290d785802,3000,0,6.593735,14765.1
stress,mhc_d32_s42,mhc,32,42,8,0.0003,3000,4226a4f1,2026-01-14T04:42:40Z,2026-01-14T07:12:32Z,2.50,22647113,39994fba0b60f7299bb16e0a6ebb82ec28d7b8031a7f647effee188f5d3768a5,3000,13524,5.887575,1
stress,mhc_d48_s42,mhc,48,42,4,0.0003,3000,4226a4f1,2026-01-14T04:42:40Z,2026-01-14T07:38:23Z,2.93,33815769,63d24d50edba6d49582697302155380e7e375cc6c48159b3f5569c48f54c73bf,3000,0,6.407245,1
